LPM,AREA,POINT_ID,EASTING-X,NORTHING-Y,LATITUDE,LONGITUDE,DESCRIPTION
405,10.267,2,315074.96,1615756.59,14.608794,79.283194,Grazing Ground/Topu/Mandabailu etc.
405,10.267,3,314874.61,1615738.64,14.608619,79.281336,Grazing Ground/Topu/Mandabailu etc.
405,10.267,4,314896.19,1615958.86,14.61061,79.281521,Grazing Ground/Topu/Mandabailu etc.
406,12.949,1,315421.97,1615823.63,14.609424,79.28641,Grazing Ground/Topu/Mandabailu etc.
406,12.949,2,315370.47,1615682.89,14.608149,79.285942,Grazing Ground/Topu/Mandabailu etc.
406,12.949,3,315074.96,1615756.59,14.608794,79.283194,Grazing Ground/Topu/Mandabailu etc.
406,12.949,4,315113.18,1615933.55,14.610396,79.283537,Grazing Ground/Topu/Mandabailu etc.
406,12.949,5,315273.53,1615878.34,14.609908,79.285029,Grazing Ground/Topu/Mandabailu etc.
460,5.427,1,315462.73,1615889.62,14.610023,79.286784,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,2,315497.81,1615937.54,14.610459,79.287106,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,3,315381.22,1615931.43,14.610395,79.286024,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,4,315371.57,1615976.25,14.6108,79.285932,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,5,315390.75,1616022.83,14.611222,79.286106,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,6,315405.07,1616063.84,14.611594,79.286236,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,7,315415.07,1616140.42,14.612286,79.286324,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,8,315504.89,1616045.26,14.611433,79.287164,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,9,315534.13,1615932.32,14.610414,79.287443,"WaterBody,Tank/Cheruvu/Kunta"
460,5.427,10,315517.83,1615897.07,14.610094,79.287295,"WaterBody,Tank/Cheruvu/Kunta"
407,10.998,1,315370.47,1615682.89,14.608149,79.285942,Grazing Ground/Topu/Mandabailu etc.
407,10.998,2,315297.47,1615562.47,14.607055,79.285273,Grazing Ground/Topu/Mandabailu etc.
407,10.998,3,315027.8,1615581.79,14.607211,79.282769,Grazing Ground/Topu/Mandabailu etc.
407,10.998,4,315074.96,1615756.59,14.608794,79.283194,Grazing Ground/Topu/Mandabailu etc.
408,11.638,1,315297.47,1615562.47,14.607055,79.285273,Grazing Ground/Topu/Mandabailu etc.
408,11.638,2,315260.92,1615385.16,14.60545,79.284946,Grazing Ground/Topu/Mandabailu etc.
408,11.638,3,315000.49,1615408.92,14.605647,79.282527,Grazing Ground/Topu/Mandabailu etc.
408,11.638,4,315027.8,1615581.79,14.607211,79.282769,Grazing Ground/Topu/Mandabailu etc.
133,1.933,1,316230.59,1616726.78,14.617641,79.293852,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,2,316260.17,1616641.89,14.616876,79.294132,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,3,316222.73,1616646.4,14.616914,79.293784,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,4,316196.66,1616647.17,14.616919,79.293542,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,5,316193.95,1616646.72,14.616915,79.293517,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,6,316135.95,1616800.97,14.618305,79.292968,"WaterBody,Vagu/Vanka/Yeru"
133,1.933,7,316181.83,1616765.01,14.617983,79.293397,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,1,316135.95,1616800.97,14.618305,79.292968,"WaterBody,Vagu/Vanka/Yeru"
